loan_id,text,need_label_llm
539517,"i made has been engaged in a service business, transporting goods by truck. the usual stuff to be transported are materials to build houses, such as stone, cement, sand, and wood. he started this business around the time he got married, four years ago. in this business pursuit, i made is assisted by two workers who are paid on a daily basis, the amount depending upon the amount of work done during the day.\r\n\r\ntoday i made received contracts for the procurement of stone, cement and sand, to build a store. he needs additional funding to meet customer demand. with his 3mm idr loan, i made can provide building materials quickly, to satisfy the customers. he will use the loan to purchase stone, cement and sand. he hopes his business can thrive and succeed. the profit of this effort will be saved, for venture capital for future endeavors.",Low Need
623916,"samon is the married mother of two children, living in the phnom srouch district of kampong speu province.  \r\n\r\nshe does rice-planting while her husband is a palm juice maker. with 30 years' experience in this business, she is able to earn up to usd 3 per day and keep usd 1.5 each day as savings.\r\n\r\nsamon has joined visionfund, kiva’s partner, this cycle as a first-time borrower. she is now applying for a loan to pay her son’s university tuition. \r\n\r\nshe hopes this loan will enable her to keep her son in tertiary education until graduation and also help relieve the financial burden for her family.  thereby she can sustain and grow her business.\r\n",High Need
899671,"he was born in namaacha, maputo province. he is 25 years old and married. he is the father of an underage son and maintains her sister, who lives with him. he has been working for a water company for more than four years. with the salary he earns, he covers the home expenses.\r\n\r\nwith this loan, he plans to buy construction materials such as sand, cement, zinc sheets and gravel to continue the works. this is his fourth loan from hluvuku. he used the previous ones for the same activity.\r\n\r\nin the future, he plans to build a pen to raise chickens and sell them, and open a commercial establishment. his biggest challenge is to finish the construction works.",Low Need
832493,"mr. benoit represents the group neerwata 06 sapone. a married man, he is the father of four children. the oldest is 30 years old, and the youngest is 21. none goes to school. he has five persons to support. mr. benoit has been working in agriculture for 35 years. he gets his supplies from nearby villages. he wants to purchase a motorized pump. with his profit, he wants to raise livestock. his ambition is to ensure his children’s future. \r\n\r\n",High Need
1361755,"ligia is an honest and responsible person. she is 43 years old, and has two children in her care who are 14 and 12 years old. she has worked for more than 30 years selling fruits and vegetables such as chayote, sour oranges, lemons, annatto,  onions, and sweet peppers. this is her 24th loan cycle, and this time the loan is to supply her business by buying annatto, chayote, lemons, and sour oranges so that she can grow her business and keep it on its feet, and earn more income.",Low Need
593295,"tatu is a married woman with three children; two of her children are in school and one is still very young. she owns a house that has neither piped water nor electricity. \r\n\r\ntatu operates a charcoal business, selling at the market to her local customers. she dreams of expanding her business in the future.\r\n\r\nwith the kshs 30,000 she wants to purchase sacks of charcoal for resale. she decided to join yehu to access loans to boost her business. \r\n",High Need
540469,"mrs. gloria marina is a 55-year-old woman from managua. she is a single mother with a child who is still in college. she has worked as a cook at one of the state universities for 20 years.\r\n\r\nat this time, she needs a loan to buy block, cement, and labor to build an addition, since one of her dreams is to have a house with all the suitable living conditions. \r\n\r\nshe trusts in god that kiva investors will finance her loan through ceprodel, since this is the only way she will be able to achieve her dreams for her family’s life.\r\n",High Need
530830,"modesta, from san pedro province in isabela, is  married to rogelio. she is a vendor. she explains that she has loyal customers because she always provides good service. she is a hard-working person, responsible and very honest. her dream is to have her own store. with time, sacrifice and hard work, she was able to reach her goal. she is now applying for a loan to expand her business. in this way, she expects to be able to continue to grow her business and to offer better service to her customers.",Low Need
632638,"analita is 40 years old and married with four children.\r\n\r\nshe earns a living by farming sugarcane in the philippines. analita is borrowing php 26,000 through nwtf to pay for the laborers' salaries in harvesting sugarcane and for land preparation.\r\n\r\nanalita has been farming sugarcane for five years and earns additional income from her general store.\r\n\r\nshe is working tirelessly toward the attainment of her dream of saving enough money so she can afford to send her children to college.\r\n",High Need
517140,"marlene, who is 40, is a single mother.  she has lived for the past three years in the house which she bought together with her 2 daughters, gabriela and yovana.  she owns 4 purebred cows and declares ""my animals are my most prized possession"".  she tends them with great care every morning since she obtains an average of 36 litres a day from them.  she says that if her cows become pregnant, she sells any male calves or bulls which they may have at the cattle market in the city of jauja.  this is because most of her earnings come from milk production and one of the major producers of tinned goods buys the milk from marlene\'s cows every day.  as a result, she feels happy and wants to increase her income.  she has already started to grow her own good quality alfalfa to eat and, now that her cows are pregnant and their production has fallen, she is thinking of buying an additional purebred cow so as to maintain the same level of production and produce more litres of milk, which she thinks is possible.  she belongs to the ""las abejitas"" (the beehives) solidarity group and this will be her second loan with mfp.  she is grateful for the opportunity to make progress which they given her, and so she will begin to use the loan to improve her business.  marlene will invest money in the purchase of a dairy cow because she does not want to reduce her level of production.\r\n\r\n",Low Need
420039,"thea, 21, is single and resides with his mother in kampong cham province, cambodia. he has been employed in a rubber plantation for more than two years, earning approximately usd 4 per day. in order to improve his family’s living conditions, thea wants to run an additional business. due to lack of capital, thea is requesting a loan of usd 1000 to purchase farmland to use for cassava cultivation. this money will help him acquire the security to start the new business and generate more income to support the family. in the future, he would like to purchase more farmland to cultivate rubber and rebuild his present house to make it bigger and more comfortable for his family’s living conditions.\r\n",High Need
239833,"melanie t., from the town of sto. niño, is 29 years old, married and has two children aged six and five. to make a living, melanie owns and operates a business venture planting and harvesting rice for sale. <p> \r\n\r\nmelanie joined cevi to gain access to financial services to help improve her living situation and ability to engage in business activities. she also likes its microinsurance program. melanie is requesting a loan of 8000 php to purchase seeds, fertilizers and farming equipment. she plans to use the additional revenue generated from the business to supplement the family's income. \r\n\r\n",Low Need
834760,"tete ensemble bois dioute was created in february 2013, under the leadership of  delianne (on the right). joseph (middle) is the treasurer, and segu (on the left) is the secretary. \r\n\r\nlast year, tete ensemble bois dioute members supported medical fees for one of its sick members. this group plays a key role in assisting its members during hard times. \r\n\r\ntoday, they are looking for a loan to allow members to sell natural medicines. the group received training  and supervision from an ngo. your contribution will improve many families’ life conditions within the group.",Low Need
1258033,"itaf has a home business selling blankets. she is 44 years old and has 7 children and a step son. she has a strong, hard working and striving personality. also, a good soul and well mannered interaction with customers as described by her neighbors. her business began 3 years ago with the intention of increasing the family's income. this business helped her provide her step son with an education because his mum died years ago and to support her husband. now she has a small number of blankets and is applying for a loan to purchase more to sell from home. nonetheless, she aspires to have a store where she can present her goods and deal directly with the customers.",High Need
1559,"she produces fruits and vegetables for sale in the local markets, local educational institutions and health centers. the target clients include school children, patients of the local health centers, the 5 surrounding communities at large, and 1 major urban centre.<p>\r\n\r\nshe has received farm business skills training based on kraban support foundation\\'s teach lending strategy. this methodology involves providing her the needed skills in farm business record keeping, daily sales, profits and working capital and farm produce marketing skills. <p>\r\n\r\nshe has also acquired training in fruit processing to make fruit juices to sell to school children to help improve their dietary intakes to enable them to be in school.\r\n",Low Need
22820,"i am shaheen a., and i was born and brought up in abbotabad, a small mountainous town. after my marriage i had to move to lahore with my husband. i have eight children, two daughters and six sons. all of my sons together operate an embroidered clothes business except the youngest one who studies in grade ten. they started this business with the loan i took from asasah, a microfinance institution. my sons need to expand their business so that they can take on bigger orders and earn more. they will buy an embroidery frame and a peco machine. we need a loan.",High Need
428254,"gilbert has been running a retail shop for four years. he got the initial capital after selling off his plot. price fluctuations, inflation and inadequate capital to purchase stock are his major challenges. his business goal is to expand his business into new markets. gilbert wants a loan to buy general merchandise such as rice and sugar to sell.\r\n\r\ngilbert is a 42-year-old businessman, married with three children living in bundibugyo, uganda. his personal goals are to educate his children to university level, build a permanent house for his family, and buy a car to transport his commodities to his customers. \r\n\r\n\r\n",Low Need
834530,"marietha sends you her thanks for your generosity because her previous loan has greatly enriched her business. she was able to buy products and supplies that she needed in her store. the loan also helped her provide for her family's daily needs and expenditures.\r\n\r\nshe is very positive that she can improve her business more if lenders let her take out a new loan of 30,000 philippines pesos (php). this new loan will go to additional groceries, toiletries, beverages and other products that she sells. simultaneously, she will be able to sustain the needs of her family through the help of this assistance.\r\n\r\nmarietha wants her family to always be healthy and free from any form of sickness. she aims to grow her business too. she meets every week with her *co-fellowship members to share stories of her work and to also draw strength and inspiration from the word of god she studies.\r\n\r\n* all cct community partners / clients are organized into fellowship groups composed of 15 to 30 community partners. the fellowship groups gather each week to study the word of god, build social capital, and pay microfinance loans.",Low Need
1025987,"wilmine is 44 years old and she has five children who all go to school. she started a small commercial activity over 10 years ago to take care of her family. she sells grocery products from her home. the revenue from this activity allows her to support her children's education. <br /><br />wilmine is seeking this loan to bolster her stock of merchandise to sell. in the long term, she hopes to see a boost in her sales.",Low Need
937129,"caleb was born in kisii, kenya and currently resides in nakuru town. he is now pursuing his higher education goals of achieving a general insurance diploma through the college of insurance. he is also employed as sales staff for a social enterprise which links clean energy suppliers with financial institutions. he has been working diligently for the last six months to reach over 250 kenyan households and provide them with clean energy products.  <br /><br />one of the main products caleb sells is the burn jikokoa cookstove, which is a life saving stove that reduces charcoal use by 50%, and creates 60% less smoke, thus helping people to save money and reduce smoke inhalation. he has been able to sell over 250 stoves to kenyan households, which has resulted in extra cash flow for many families to pay school fees, pay off loans, and invest more in their businesses.  <br /><br />caleb plans to use the kiva loan to purchase more jikokoa cookstoves to sell within the rift valley region, and to reach an additional 500 households before the end of the year. the loan will help caleb to raise business capital he would have been otherwise unable to raise, grow his business, and reach thousands of kenyans. not only will the loan benefit caleb’s business, but it will also improve the health of thousands of kenyans, reduce impacts on the environment, and allow families to save over $200 a year.",Low Need
1234055,"lucia is a widow mother of five children, 46 years old, and a vendor. she has been selling string beans and cabbage in the market for four years. it’s hard for her to sustain their daily needs because she’s the only one who provides for her children, but she’s doing her best so that she may feed them and sustain their other needs. <br /><br />lucia wants to sell more vegetables, but her capital is insufficient. for this, she is requesting a loan of php 10,000 to buy a variety of vegetables to sell. the loan will be a big help for her to develop the business and get greater revenue to give enough provisions for her children.",High Need
784779,"mon’s group lives in a rural village in battambang province in cambodia. mon works as farmer to support her family. in their village there is no reliable access to safe, clean drinking water.  having a water filter at home will help each of these women and men to safeguard the health of their families and save money on medical expenses and save time collecting fuel and boiling water.",High Need
1352572,"analynn is 36 years old and married with three children. analynn works very hard to provide for them.<br /><br />analynn runs a general store in the philippines and requested a php 10,000 loan through nwtf to buy items to sell like canned goods, personal care products, and other snack foods.<br /><br />analynn has been in this business for 3 years. <br /><br />in the future analynn would like to save enough money so she could afford to send her children to college.",Low Need
1407190,"mercedes is 39 years old, is in a common-law marriage, and has two children from this relationship who are 20 and 17 years old. her children are studying at the university and in high school and her husband is a driver. they live in portoviejo, the capital of manabi, known for many years as the city of the royal tamarinds.<br /><br />thanks to the loans that she always receives from the group, mercedes continues with her business selling clothing, curtains, sheets, shoes and a variety of other products. she always looks for what is in season in order to have good sales. she sells door to door but also sells from her home. she sells on credit and collects payment each week. for her, this type of sales allows her to sell more since it provides her clients ease of payment. <br /><br />this loan is to buy shirts, blouses, sandals, sheets, curtains and other merchandise that she sells. her dreams are to provide the best for her children.",Low Need
1323462,"determination, passion, and confidence have propelled lilian to where she is now. she is a dairy farmer who also grows crops and keeps poultry. in a portion of her farm, lilian grows tea. lilian enjoys farming for the increased profits she gets. she enjoys the annual bonus paid by the government to the tea planters; however lilian has remained poor since her horticultural farm has failed to produce yields. lilian lives with her family in a remote village in the nyamira region of kenya.<br /><br />lilian is borrowing this loan so that she can use it to buy farming inputs (fertilizers, pesticides, and herbicides).<br /><br />being a woman and accessing funds in kenya, especially around nyamira, is very challenging, but lilian feels relieved knowing there are institutions such as kiva that help enterprising women like her. she is always working to improve her family’s living conditions, but her biggest dreams are to become independent and support her family by herself, secure her children’s future, and to buy a home.<br /><br />your kindness and good will touch the hearts of her family members.",High Need
439094,"josephine, age 48, raises hogs to be fattened and eventually offered for sale. she manages her business while her husband is busy in their rice field. between the two of them, they are able to support her two children in their studies. with the help and support of her husband, josephine has become confident in running her business successfully. from the profits she earns from her business, josephine is able to help provide for the family's daily necessities and strives to improve their standard of living. \r\n\r\njosephine has paid back her previous loan and is now requesting another loan in the amount of php 20,000, which she will use to buy hog feed and vitamins for her three hogs. she is hopeful that her requested loan funds will help her meet her life goals. in addition, she is grateful for the continuous access of financial services available to her from kiva lenders through aski so that she can continue to ensure the proper growth of her hogs. as a result, she is able to offer her hogs to buyers at higher prices.\r\n\r\nthrough the generated income from her business, she intends to build savings toward ensuring a bright future of her children.",Low Need
981823,"vet is a 48-year-old widowed homemaker with two children. she resides in kampong chhnang province in cambodia. she has mainly been earning income from selling porridge and khmer noodles since 2011. her two children are working in a factory and another one is working as a black blacksmith. vet and her children can earn approximately 14 usd each day. now vet would like to request loan to buy a motorcycle for her son, who works in the factory, to commute to work. this loan will help her son to reduce travelling expenses and have better travelling conditions. in the future, vet is going to expand her business, so she will be able to save money to renovate her house.",Low Need
172271,"leonida d. is from the village of poblacion, iligan city. she is 42 years old. leonida is married and has two adult-aged children. to make a living, leonida owns and operates a specialized retail business, selling a variety of beauty products in the local community. leonida has been engaged in her business for over twelve years and earns approximately $114 a month from this activity.\r\n\r\nin 2008, leonida joined hspfi to gain access to financial services to help improve her living situation by engaging in business activities. leonida has successfully repaid a previous loan of 8,000 php from hspfi. leonida is requesting a new loan of 11,000 php which will be used to invest in expanding her business. this will be her 4th loan from hspfi. she plans to use the additional revenue generated to improve her business. \r\n\r\nabout hspfi:\r\n\r\nhspfi is one of the accredited partners of opportunity international in the philippines. it is based in cagayan de oro city and is reaching out to the poor households of northern mindanao.\r\n\r\n*note: to maximize efficiency and reduce costs, this loan was posted using a template to automate the translation by kiva.  given that manual translation of entrepreneur profiles is costly, we created this template for our field staff to allow them to continue to post loans in english while providing quality and accurate information to kiva lenders.",Low Need
1358450,"silvina is a 60-year-old married woman with five children; one child is still in school. she is a very hard working entrepreneur. <br /><br />silvina has a tailoring business in the philippines. silvina requested a php 10,000 loan amount through nwtf to buy additional materials like fabric, threads, needles, etc. for her business.<br /><br />silvina has been in this business for 18 years.  silvina would like to save money to expand her business to secure the future of her family.",Low Need
653958,junita is applying for a loan of $ 1000.00 to improve her business. she is married. she is running a business in front of her house by doing computer services. she is making a good income from computer services and she wants to apply for a big loan for the future. she is living in a town near by the main road; so many people come to fix their computers. she opened her business in 2002 with her own working capital.,Low Need
814443,"rolanor is a married woman with four children. she is a very hardworking entrepreneur. rolanor is 39 years old and has three children who are currently in school.\r\n\r\nrolanor has a business buying and selling ready-to-wear in the philippines. \r\n\r\nrolanor requested a php 13,000 loan amount through nwtf to buy more stock of ready-to-wear to sell to her customers.\r\n\r\nrolanor has been in this business for 6 years. in the future, rolanor would like to save enough money so she can afford to send her children to college.\r\n",Low Need
350141,"willington is a ugandan male, aged 50 years, who needs a loan to buy sodas for resale. this retail shop owner hails from the kyenjojo district and is the father of four children between the ages of 24 and 8. having had this business for 10 years, he dreams of growing into a wholesale business and educating his children.",Low Need
687854,"bebelyn is 30 years old, married with three children, who are all in school. she is a very hard working entrepreneur. \n\nbebelyn has a business selling dried fish in the philippines. bebelyn requested a php 10000 loan amount through nwtf in order to buy more dried fish to sell.\n\nbebelyn has been in this business for six years. in the future, bebelyn would like to save enough money so she can afford to send her children to college.\n",Low Need
11285,"wani is a 28 year old mother and is married with one girl aged 5 years. her husband darman is a fisherman, earning about $5 in a day. to supplement her husband's income, wani makes and sells various cooked foods. from this business, she can earn about $2 in a day. wani needs a loan of $125. with this loan she can buy more materials, thus her working capital gets bigger and more or less enables her to double her income eventually. she really wants to have more income so that she can have a better life. she is willing to repay this loan within a period of one year.",High Need
1102972,"badridin is an entrepreneur starting out in the city of gissar. he plans, at 54 years old, to start his own livestock business. badridin has all the things necessary to start this business. his only barrier is his lack of finances. for this reason, badridin has applied for a loan to purchase a few head of young bulls to fatten up and resell. thanks to the loan, badridin will finally be able to start his business and provide his family with a source of income. he really needs your help, and believes that you will provide him with the chance to start his business.",High Need
1252307,"picoaza is a parish of the city of portoviejo where most of its inhabitants work in informal commerce. its traditional feasts of san pedro and san pablo attract many people from inside and outside of the city for their majesty and way of celebrating. <br />melissa lives here. she is 21 years old, has a domestic partner and a 5 year old daughter who goes to school. her partner is a merchant. she is part of this group who decided to join and apply to loans they hope will improve their businesses, which they were not able to finance after the earthquake.<br />melissa is a hardworking woman who helps her partner to move ahead, always thinking of her family's future. this is why she will give this loan to him to improve his business. every day, he goes around the streets and sells underwear and clothes in general. also, on weekends he goes to  neighboring cantons in order to sell a little more in certain occasions. when there are fairs, melissa comes with him to spend time together and sell a little more. <br />this loan is to buy t-shirts, pants and underwear. this is her first loan cycle in the credit group, and she hopes to continue having the support of the loans for a long time.",High Need
53851,"dorina is a member of the ""mujeres luchadoras"" (""battling women"") community bank.  she lives in the peruvian ""departamento"" of san martin where she earns a living selling various bulk food items.  she has a stall in the numero 3 (""number 3"") market in tarapoto.  she started her business 8 years ago, with help from her niece.  because of her dedication and perseverance, the business has grown.  when she started, she only had certain types of maize, but now she sells a variety of products including beans of various kinds, lentils, peas, ground coffee, etc.\r\n<p>\r\nwith the s/.900 (900 peruvian soles), to be repaid in 6 months, dorina will buy wholesale supplies of maize, beans, lentils and peas that she will then sell in smaller lots.  she will also buy unprocessed coffee beans that she\'ll then toast and grind for sale to her regular customers.\r\n<p>\r\ndorina, 67, is thoroughly committed to her business, despite her age, because she enjoys operating it and being with her customers.  she says that she\'s always described herself as strong, determined, serene and up for a fight.  she wants to have a business at home so that she can enjoy a quiet retirement.\r\n<p><b>translated from spanish by jere wiseman, kiva volunteer</b><p>\r\nla señora dorina t. g. es socia del banco comunal “mujeres luchadoras”, vive en el departamento y provincia de san martín y distrito de tarapoto, se dedica a la venta de granos de todas las variedades, en su puesto de venta  ubicado en el mercado nº 3 barrio- huayco tarapoto.  se inició en el negocio desde hace 8 años, contó con el  apoyo de  su sobrina. con  dedicación y perseverancia ha logrado que el negocio se incremente, ya que cuando se inició solo tenia maíz en grano y maíz chancado, ahora oferta variedad de productos como fríjol, de distintas variedades, lentejas, alverjas, maíz canchita, café molido. \r\n<p>\r\ncon el préstamo de  s/. 900.00, que será devuelto en 6 meses comprará maíz en sacos, fríjol  de distintas variedades en sacos, lentejas y  alverjas en grandes cantidades, para ser vendidos estos productos por kilos al por menor, además ella compró café en granos que después de ser tostados y molidos  oferta a sus clientes que diariamente la visitan. \r\n<p>\r\ntiene 67 años, que a pesar de su edad, ella se dedica a este negocio porque le gusta y así se distrae con su clientela. siempre se caracterizó por ser fuerte, perseverante, tranquila y luchadora. ella anhela tener un negocio en su propia casa para así tener una vejez tranquila.",High Need
161027,"roseline o. is 34 years old, married with three children. her husband is a commercial driver and he also supports the home. roseline sells groceries to make a living. she has been in this business for six years. roseline hopes to own a supermarket in the future. \r\n\r\nher challenge in her business is inadequate funds. she is requesting a loan amount of 50,000 nigerian naira (ngn) to purchase more groceries to sell. this is the high season for sales and she hopes to make more profits. she says thanks to kiva lenders.\r\n\r\nroseline is a client of lapo (lift above poverty organization). lapo is committed to improving lives in nigeria and africa. ",High Need
927123,"a loan of idr 10,000,000  helps yeni to introduce simple, life-saving technologies such as solar lamps, water filters, and clean cookstoves to the community.\r\n \r\nyeni was born and raised in the village called soe in west timor, indonesia where the majority of people are farmers. yeni and her husband,  an evangelist, visit remote villages in soe on a weekly basis. during their visit to the villages without electricity, yeni demonstrates a solar lamp to help people stop using dangerous and toxic kerosene lamps.\r\n \r\nto increase her income, yeni joined kopernik’s tech kiosk network to sell simple life-changing technologies. she will use the loan to buy stock  items and grow her business. one of her dreams is to provide better education for her children. the income from selling technologies will help her increase savings for their future education.\r\n",Low Need
163011,"sorn y., 62, is married and lives with one of her children in the kampong chhnang province. she sells desserts and works as a farmer, making us $3 each day, while her husband also does some farming and works as soldier, making about us $3 each day as well. sorn y. is asking for a loan of us $200 to purchase another farmland to grow more rice. she sees this new rice field as a good economic investment and will use it to increase her income and improve her standard of living.\r\n",Low Need
1129534,"lilian is the mother of four children and someone who is eager to get into the horticultural market. she is a smallholder dairy and poultry farmer and has been crop farming, too, but for subsistence purposes. she also grows vegetables on a small scale plus fodder for her cows. <br /><br />the demand in kenya for horticultural products such as fruits and vegetables has grown steadily in recent years. although this produce has become one of the top-traded agricultural products, there is still plenty of room for the market to expand. <br /><br />lilian has applied for a 80,000 kes loan through kiva's field partner juhudi kilimo to begin growing vegetables on a larger scale so as to enter the commercial market for them. she will rely on other sources of income to make the initial installments on the loan, but in a short time the farm should start yielding greater returns. her profits will be plowed back into it to fuel its growth. <br /><br />most importantly, lilian’s increased income will raise the living standards of her family.",Low Need
18261,"mr. p. pov is married and has 6 children: 4 sons and 2 daughters. he has been in the fishing business for almost 20 years. he began fishing by learning from the older generation in his family. when not fishing, he raises vegetables, and his wife sells the fish and vegetables in the local market or in other villages.\r\n\r\nhe has received three loans from maxima, which has helped him improve his business. he is requesting another loan in the amount of $400 so he can purchase one fishing boat and fishing net, which will enable him to further improve his business and his income.",Low Need
1160021,"emily is 47 years old, married with three children, two of whom in school.\n\nshe works hard to provide for her family. she runs a general store in the philippines and requested a php 13000 loan through nwtf to buy additional items to sell like soap, shampoo, egg, noodles, can goods, etc.\n\nemily has borrowed and paid 5 loans from nwtf before this loan. she has been running the general store for 2 years and also earns an income from pig fattening.\n\nshe aspires to save enough money so she could afford to send her children to college.\n",Low Need
860551,"as a married mother of two children, sylvia works hard to support her family. she has a general store business in the philippines and earns additional income from food vending and clothing sales businesses. \r\n\r\nsylvia is borrowing php 10,000 through nwtf to purchase additional groceries to sell in her general store.\r\n\r\nsylvia has been sustaining her business activities through her past five loans from nwtf and, more recently, through kiva. she hopes that her hard work will help her attain her dream, which is to save enough money to expand her business.\r\n",Low Need
